Time(s) pitch(rad) yaw(rad) roll(rad) pitchspeed(rad/s) yawspeed(rad/s) rollspeed(rad/s) lat(deg) lon(deg) alt[MSL](mm) vnorth[NED](cm/s) veast[NED](cm/s) vdown[NED](cm/s) IAS(m/s) AOA() Sideslip() RCch1() RCch2() RCch3() RCch4() 
7.719999999999923 -0.036039420716263725 -0.4289837256075541 -0.22165881062111917 -0.031265871568152546 -0.07413045981918234 -0.0003943799285661613 227.26848861908323 -25.809487692823307 107.10968681472687 27.10987358642792 -9.139268086464922 -5.459518956763863 24.094869499226366 0.20833435848941848 -0.0011892889435077853 -0.007125279728669856 -0.20622661058349512 0.5885697113452419 0.00939095851185443
7.739999999999923 -0.03696052991362881 -0.4302600140488098 -0.22163577858001307 -0.030553125368257942 -0.0705424050039242 -0.0019591953862018617 227.8107819333648 -25.992734314427903 107.0002079310287 27.11944395986443 -9.185394363917686 -5.488373550082942 24.12151488277008 0.207956090657857 -0.0012190682186466802 -0.0067122086498031894 -0.20627345936613642 0.5881157532000308 0.009488559219733591
7.7599999999999225 -0.037851834661611454 -0.4314745502555211 -0.22162875594544365 -0.029717851917798566 -0.06745037354622434 -0.0018800920142484942 228.3532668070076 -26.176904416062687 106.89015352926607 27.12903016051079 -9.231615988703634 -5.517070743422357 24.152043412165444 0.20724643788553102 -0.0009385853812029909 -0.006553264162781958 -0.20636405598355487 0.5886026356841114 0.009965499791063315
7.779999999999922 -0.038711305894090366 -0.43263094600847807 -0.22161158063587227 -0.028727191412303284 -0.06417039956773485 -0.0008276557942700881 228.89594213761967 -26.36199947335227 106.77952545227963 27.138490221159685 -9.277889915523689 -5.545740853896233 24.182514905075966 0.20830702119989353 -0.0011479946163034038 -0.006099669078608555 -0.20630451016496443 0.5882514899058718 0.0103965588832573
7.799999999999922 -0.03954223015635769 -0.43373694664677764 -0.22157335432572628 -0.02804411137631123 -0.06190515541343718 0.0003243018111515482 229.4388096601952 -26.548023819911748 106.668333387025 27.148249887442113 -9.32454508429264 -5.573469367986259 24.212370963955237 0.2077270208690421 -0.0026213054870149093 -0.006533627442862145 -0.20623693895903814 0.5883206126237821 0.010580103995683739
7.819999999999921 -0.04035456579472817 -0.4348261243459145 -0.22149129776708779 -0.02729129383208054 -0.062115358826710904 0.003531314651261472 229.98187273613 -26.734979356023928 106.55658818136182 27.158045750393626 -9.371009069602763 -5.601054527611756 24.240672559448264 0.20882491511638926 -0.002975516176896691 -0.006239162581209481 -0.20602274099891305 0.5882191997911096 0.010307933231647129
7.839999999999921 -0.04115538111736248 -0.4359264037083384 -0.22134235529381782 -0.0266917038579509 -0.06272448979181652 0.006879825180322279 230.5251349726258 -26.922867715709096 106.44430098078344 27.168165861809882 -9.417827844502193 -5.6276684416568 24.278488929885455 0.20951474058207908 -0.0027740396459805796 -0.005896137955936683 -0.2064371131131566 0.5882462983162526 0.01029509889147687
7.85999999999992 -0.04194680775566069 -0.43703696299942585 -0.22113638055876672 -0.026172915360206727 -0.06289822159573702 0.009104403548015038 231.06860156529333 -27.111696019495025 106.33149027318522 27.178481290707158 -9.465003793193153 -5.65340486453383 24.285349988567116 0.20867625322607225 -0.0026560882992725993 -0.005756955070097838 -0.2067475673380109 0.5881720008298517 0.010224944278938466
7.87999999999992 -0.04272701602109717 -0.43814909289017556 -0.2208918143804987 -0.02559187326543285 -0.06261612880074705 0.010645204304950336 231.61227330861186 -27.301466468053277 106.21816112027271 27.18868087793859 -9.512042459583029 -5.679512660904437 24.311829502442112 0.20893176303970443 -0.002153349020902155 -0.005298678448266113 -0.2063110179431802 0.5879560208117954 0.009879184462825619
7.8999999999999195 -0.04349181256249498 -0.43924910975822745 -0.220624898065674 -0.02496704086627157 -0.06136305022154793 0.011305937760816865 232.15614974858028 -27.49218004487166 106.104314745447 27.19895110280993 -9.55931672882417 -5.705126858416187 24.34237613195947 0.20859922155429617 -0.0025811130453642713 -0.004861684938178612 -0.2066492253958481 0.587458377463738 0.00971459705164492
